E L E C T R I C A L S,,,,,,,,,,,
" Jan. 22,2026",,,,,,,,,,,
 P H E L P S  D O D G E ,,,,,,,,,,,
per box,WSP, SRP ,per mtr,WSP, SRP ,,,,,,
#14 (2.0) 150m,IKPY," 3,850 ",,,,,,,,,
#12 (3.5) 150m,KOXQ," 6,150 ",,,,,,,,,
#10 (5.5) 150m,XQYC," 9,400 ",,,,, ,,,,
#8 (8.0) 100m,OXUK," 9,200 ",,,,,,,,,
 R O Y U ,,,,,,,,,,,
per box,WSP, SRP ,per mtr,WSP, SRP ,,,,,,
#14 (2.0) 150m,IQPI," 3,450 ",#14 (2.0),US, 30 ,,,,,,
#12 (3.5) 150m,CEKI," 4,950 ",#12 (3.5),IU, 40 ,,,,,,
#10 (5.5) 150m,PQUQ," 7,450 ",#10 (5.5),CO, 56 ,,,,,,
#8 (8.0) 100m,PCUE," 7,700 ",#8 (8.0),PK, 85 ,,,,,,
R O Y U  PDX,,,,,,,,,,,
per box,WSP, SRP ,per mtr,WSP, SRP ,,,,,,
#14 (2.0) 75m   ( 1.6 ),ICEK," 3,780 ",#14 (2.0),CP , 58 ,,,,,,
#12 (3.5) 75m   ( 2.0 ),KYXP," 5,380 ",#12 (3.5),EO, 78 ,,,,,,
#10 (5.5) 75m   ( 2.6 ),PKUC," 7,800 ",#10 (5.5),QYQ, 110 ,,,,,,
POWERFLEX,,,,,,,,,,,
per box,WSP, SRP ,per mtr,WSP, SRP ,,,,,,
#14,UQOP," 2,450 ",,,,,,,,,
#12,IUYO," 3,500 ",,,,,,,,,
#10,CXYX," 5,200 ",,,,,,,,,
#8,PEPX," 7,950 ",,,,,,,,,
PANEL BOX,,,,,,,,,,,
branches,WSP, SRP ,branches,WSP, SRP ,,,,,,
Single,QUY, 180 , 6BR ,PYX, 820 ,,,,,,
2BR,CPS, 580 ,8BR,OCY, 980 ,,,,,,
4BR,EQY, 700 ,10BR,QYEP," 1,200 ",,,,,,
NEMA ,,,,,,,,,,,
,WSP, SRP ,,WSP, SRP ,,,,,,
3R PLUG IN,IOX.KY, 470 , 3R BOLT ON ,CYP, 480 ,,,,,,
,,, 3R BOLT ON ,ICY, 450 ,,,,,,
FUSE BOX,,,,,,,,,,,
amp,WSP, SRP ,amp,WSP, SRP ,,,,,,
30A,CYS, 480 , 60A ,PIY, 850 ,,,,,,
SAFETY BREAKER,,,,,,,,,,,
amp,WSP, SRP ,amp,WSP, SRP ,,,,,,
15A,ISY, 450 , 40A ,ICP, 450 ,,,,,,
20A,ISY, 450 ,60A,CPS, 550 ,,,,,,
30A,IES, 450 ,100A,OPY, 950 ,,,,,,
CIRCUIT BREAKER - PLUG IN,,,,,,,,,,,
GE,WSP, SRP ,Royu,WSP, SRP ,,,,,,
15A,COI, 580 ,15A,ISE, 400 ,,,,,,
20A,COI, 580 ,20A,ISE, 400 ,,,,,,
30A,COI, 580 ,30A,ISE, 400 ,,,,,,
40A,EPX, 730 ,40A,ISE, 400 ,,,,,,
60A,PEI, 850 ,60A,ISE, 400 ,,,,,,
100A,QYOS," 1,100 ",100A,CKS, 520 ,,,,,,
,,,,,,,,,,,
CIRCUIT BREAKER  BOLT ON,,,,,,,,,,,
GE,WSP, SRP ,Royu,WSP, SRP ,,,,,,
15A,EOE, 760 ,15A,UQI, 300 ,,,,,,
20A,EOE, 760 ,20A,UQI, 300 ,,,,,,
30A,EOE, 760 ,30A,UQI, 300 ,,,,,,
40A,PEI, 850 ,40A,UQI, 300 ,,,,,,
60A,PEI, 850 ,60A,UIQ, 300 ,,,,,,
100A,QCSX," 1,600 ",100A,IUQ, 380 ,,,,,,
FLOURESCENT LAMP only,,,,,,,,,,,
Philips,WSP, SRP ,Firefly,WSP, SRP ,,,,,,
10w,UO, 60 ,8w,QYK, 160 ,,,,,,
20w,OY, 100 ,20w,,,,,,,,
36w,,,36w,,,,,,,,
40w,OK, 120 ,40w,,,,,,,,
FLOURESCENT HOUSING only,,,,,,,,,,,
Philips,WSP, SRP ,Ecolum,WSP, SRP ,,,,,,
10w,QIP, 160 ,10w,,,,,,,,
18w,QCK, 180 ,36w,,,,,,,,
20w,QCK, 190 ,20w,,,,,,,,
40w,OPK, 210 ,40w,,,,,,,,
FLOURESCENT LAMP with HOUSING ,,,,,,,,,,,
Philips,WSP, SRP ,Ecolum,WSP, SRP ,,,,,,
10w,OEK, 210 ,8w,QCO, 180 ,,,,,,
20w,USK, 280 ,16w,QPU, 220 ,,,,,,
40w,UEY, 320 ,40w,,,,,,,,
CIRCULAR LAMP,,,,,,,,,,,
Firefly,WSP, SRP ,GE,WSP, SRP ,,,,,,
22w,PC, 120 ,,,,,,,,,
32w,OQ, 130 ,32w,PX, 120 ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,WSP, SRP ,,WSP, SRP ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,WSP, SRP ,,WSP, SRP ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
,WSP, SRP ,,WSP, SRP ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
