STEEL PRICE LIST,,,,,,,,,,,
" Jan. 13, 2026",,,,,,,,,,,
G.I PIPE S-20 (MANIPIS),WSP, SRP ,G.I PIPE S-40 (MAKAPAL),WSP, SRP ,,,,,,
 1/2 w/  thread,UKE, 330 , 1/2 w/  thread,IQK, 380 ,,,,,,
 3/4 w/ thread,ICX, 420 , 3/4 w/ thread,CYQ, 450 ,,,,,,
1 w/ thread,EQC, 690 ,1 w/ thread,EQO, 660 ,,,,,,
 1 1/4 w/ thread,OXE, 970 , 1 1/4 w/ thread,XCY," 1,020 ",,,,,,
 1 1/2 w/ thread ,XSK," 1,100 ", 1 1/2 w/ thread ,QYQE," 1,120 ",,,,,,
2 w/ thread - xusi,XSK," 1,150 ",2 w/ thread - xusi,QIEU," 1,400 ",,,,,,
3 w/ thread - xusi,UQOU," 2,300 ",3 w/ thread - xusi, USPU ," 2,500 ",QTY,WSP,NEW ORDER FR QUALISTEEL 11/20/24,,,
,,,,,,,,,,,
 1/2 w/out thread ,USY, 260 , WIRE ,,,15, 200.00 , 1/2 w/out thread ,,,
 3/4  w/out thread ,UPE, 335 ,GI WIRE #16 CHINA 24KLS,QYOY," 1,350 ",33, 230.00 , 3/4  w/out thread ,,,
 1  w/out thread,IXP, 450 ,GI WIRE #16 LOCAL 35kls,QOUK," 2,100 ",11, 360.00 , 1  w/out thread,,,  
1 1/4 w/out thread,KCE, 620 , BARBED WIRE 15KGS  , PUY , 850 ,0,,1 1/4 w/out thread,,,
1 1/2 w/out thread,EUE, 710 , BARBED WIRE 30KGS  , QKXY ," 1,750 ",6, 430.00 ,1 1/2 w/out thread,,,
2 w/out thread,OEC, 970 , CYCLONE WIRE (4ft X 6m) 4inc butas , CKY , 550 ,12, 760.00 ,2 w/out thread,,,
3 w/out thread  xusi,QEYE," 1,850 ", CYCLONE WIRE (4ft X 6m) 2inc butas , CKY , 560 ,4," 1,300.00 ",3 w/out thread - qsteel,,,
 CYCLONE WIRE (6ft X 6m) 2inc butas ,ESY, 780 , CYCLONE WIRE (6ft X 6m) 4inc butas , CKY , 570 ,,,,,,
TUBULAR (MANIPIS),WSP, SRP ,TUBULAR (MAKAPAL),WSP, SRP ,,,,,,
 3/4 x 3/4,QPU, 220 , 3/4 x 3/4,UYS, 250 ,,,,,,
1X1  ,UQY, 260 ,1X1,UCP, 295 ,,,,,,
1X2 (6.5kg),IYI, 365 ,1X2  (8.5kg),IXE, 455 ,,,,,,
1 1/2 X 1 1/2 (6.5kg),IYI, 365 ,1 1/2 X 1 1/2,IXE, 455 ,,,,,,
2X2 (8.5kg),IXE, 455 ,2X2  (10.5kg),KYC, 565 ,,,,,,
2X3  (10.5kg),COX, 550 ,2X3 (13.5kg),ECO, 710 ,,,,,,
2X4 (12.5 kg),KOU, 690 ,2X4 (14.5kg),EKO, 730 ,,,,,,
2X6,XYK," 1,005 ",2X6 (22kg),QYCO," 1,150 ",,,,,,
ANGLE BAR (3/16) MANIPIS,WSP, SRP ,ANGLE BAR 1/4 (MAKAPAL),WSP, SRP ,,,,,,
 1/8 X 1 - Blue ,QPS, 230 ,1/4 X 1 - Grn,IQP, 360 ,,,,,,
3/16 X 1 - Red,USI, 280 ,1/4 X 1 - Org ,IUO, 390 ,,,,,,
3/16 X 1 1/2 -Red,IEY, 420 ,1/4 X 1 1/2 - Grn,COU, 545 ,,,,,,
3/16 X 2 - Red ,CPX, 550 ,1/4 X 1 1/2 - Org ,EQK, 650 ,,,,,,
,,,1/4x2 - Grn,EUY, 690 ,,,,,,
,,,1/4x2 - Org,PQX, 810 ,,,,,,
FLAT BAR (3/16) MANIPIS,WSP, SRP ,FLAT BAR  1/4 (MAKAPAL),WSP, SRP ,,,,,,
3/16 X 1/2 (green),EX, 95 ,1/4 X 1/2 (orange),QUS, 170 ,,,,,,
3/16 X 3/4 (green),QCS, 190 ,1/4X3/4 ( orange ),QOX, 225 ,,,,,,
3/16 X 1 (green),QOE, 240 ,1/4 X 1 (orange),UKU, 310 ,,,,,,
3/16 X 1 1/2 (green), UXS , 350 ,1/4 X 1 1/2 (orange),IOY, 430 ,,,,,,
3/16 X 2 (green),IOU, 430 ,1/4 X 2 (orange),CXK, 540 ,,,,,,
3/16 X 2 - (blue),IYO, 360 ,,,,,,,,,
SQUARE BAR,WSP, SRP ,ROUND BAR,WSP, SRP ,,,,,,
9MM (2.1kg),QIX, 195 ,,,,,,,,,
10MM  BLUE,QKC, 215 ,9MM ORG , XK , 150 ,,,,,,
12MM RED,USP, 285 ,10MM WHITE,QKO, 220 ,,,,,,
,,,12MM BLUE,UIS, 295 ,,,,,,
,,,16MM ,CUY, 510 ,,,,,,
CONDUIT PIPE,WSP, SRP ,CHROME PIPE,WSP, SRP ,,,,,,
 1/2 (10ft),QEK, 235 , 1/2 (16ft),OC, 150 ,,,,,,
 3/4 (10ft),QXK, 265 , 3/4 (16ft),QUE, 190 ,,,,,,
1 (10ft),IQK, 380 ,1 (16ft),QOU, 260 ,,,,,,
1.5 (10ft),COY, 580 , GROUNDING ROD (per ft) , EQ  , 100 ,,,,,,
C-PURLINS  MANIPIS,WSP, SRP ,C-PURLINS  MAKAPAL,WSP, SRP ,,,,,,
2X3 9KG (9.2kg),CQY, 470 ,2X3  ( standard ),KIK, 600 ,,,,,,
2X4 (10.4kg),CSK, 510 ,2X3  (10.3kg),CKS, 515 ,,,,,,
2X6 (13kg),KSK, 665 ,2X4  ,KIY, 610 ,,,,,,
METAL FURRING,PK, 110 ,2X6 (16kg),EOY, 790 ,,,,,,
METAL STUD,OY , 120 ,CARRYING CHANNEL,OY, 120 ,,,,,,
METAL TRACKS,OY, 120 ,WALL ANGLE,UE, 45 ,,,,,,
,,,WALL CLIP,U, 5 ,,,,,,
STEEL MATTING,,,,,,,,,,,
#10 MANIPIS ,USK, 290 ,#6 MAKAPAL,KEY, 660 ,,,,,,
#8 SEMI-MAKAPAL,IUY, 390 ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
