P  L  Y  W  O  O  D    P  R  I  C  E  L  I  S  T  ,,,,,,,,,,,,,,
" Jan. 13, 2026",,,,,,,,,,350,,,,
 LOCAL PLYWOOD ,,,,,,,,,,,,,,
ORDINARY,WSP, SRP ,MARINE,WSP, SRP ,,,,,,,,,
 1/4 L-O,IOY, 420 , 1/4 L-M,CYS, 450 ,,,,,,,,,
 1/2 L-O (imp),EUK, 700 , 1/2 L-M (imp),PSK, 840 ,,,,,,,,,
 3/4 L-O (imp),QYCY," 1,150 ", 3/4 L-M (imp),QSOK," 1,280 ",,,50,8,8,19,152," 7,600.00 ",
PHENOLIC / SHERA /GYPSUM,,,,,,,,232,10,10,19,190," 44,080.00 ",
SHERA BOARD 3/16,IYS, 370 , GYPSUM 9MM ,,,,,18,10,6.666666667,19,126.6666667," 2,280.00 ",
SHERA BOARD 1/4,IKS, 430 , GYPSUM 12MM ,,,,,197,12,12,19,228," 44,916.00 ",
PHENOLIC 1/2,EOK, 760 ,,,,,,3,12,8,19,152, 456.00 ,
PHENOLIC 3/4 Unicorn,XSY," 1,070 ",,,,,,,,,,," 99,332.00 ",
,,,,,,,,14,12,12,19,228," 3,192.00 ",
E C O  4  /  C O C O  L U M B E R   PRICE LIST,,,,,,,,,,,,," 96,140.00 ",
" OCT 25, 2024",,,,,,,,,,,,,,
ECO 4,WSP, SRP ,COCO,WSP, SRP ,,,,,,,,,
 1X2X8 , EK , 85 ,,,,,,,,,,,,
 1X2X10 , OY , 105 ,,,,,,,,,,,,
 1X2X12 , XK , 125 ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 2X2X8 , QUK , 160 , 2X2X8 , EU , 75 ,,,,,,,,,
 2X2X10 , QKS , 205 , 2X2X10 , PS , 90 ,,,,,,,,,
 2X2X12 , QOK , 250 , 2X2X12 , XU , 105 ,,,,,,,,,
,,,,,,,,,,,,,,
 2X3X8 , QOY , 240 , 2X3X8 , XU , 110 ,2.666666667,109.3333333,,,,,,,
 2X3X10 , USK , 320 , 2X3X10 , QSK , 130 ,,,,,,,,, 
 2X3X12 , ISE , 360 , 2X3X12 , QIO , 160 ,,,,,,,,,
,,,,,,,,,,,,,,
 2X4X8 , UCY , 348 , 2X4X8 , QUI , 145 ,,,,,,,,,
 2X4X10 , IPI , 435 , 2X4X10 , QKC , 175 ,,,,,,,,,
 2X4X12 , CSO , 520 , 2X4X12 , QOC , 210 ,,,,,,,,,
,,,,,,,,,,,,,,
 2X6X8 ,,, 2X6X8 , QOC , 210 ,,,,,,,,,
 2X6X10 ,,, 2X6X10 , UIY , 260 ,,,,,,,,,
,,, 2X6X12 , UPE , 315 ,,,,,,,,,
,,,,,,,,,,,,,,
